Date,Time,Timestamp,Station,Temp,Salinity
4/28/16,12:30:00,28-04-2016 12:30:00,RR,11.83,11.72
4/28/16,12:45:00,28-04-2016 12:45:00,RR,11.87,13.12
4/28/16,13:00:00,28-04-2016 13:00:00,RR,12.09,14.11
4/28/16,13:15:00,28-04-2016 13:15:00,RR,12.15,15.01
4/28/16,13:30:00,28-04-2016 13:30:00,RR,12.24,16.37
4/28/16,13:45:00,28-04-2016 13:45:00,RR,12.08,17.91
4/28/16,14:00:00,28-04-2016 14:00:00,RR,12.05,18.66
4/28/16,14:15:00,28-04-2016 14:15:00,RR,11.94,19.48
4/28/16,14:30:00,28-04-2016 14:30:00,RR,11.78,20.26
4/28/16,14:45:00,28-04-2016 14:45:00,RR,11.71,20.97
4/28/16,15:00:00,28-04-2016 15:00:00,RR,11.69,21.6
4/28/16,15:15:00,28-04-2016 15:15:00,RR,11.71,22.01
4/28/16,15:30:00,28-04-2016 15:30:00,RR,11.8,22.56
4/28/16,15:45:00,28-04-2016 15:45:00,RR,11.86,22.86
4/28/16,16:00:00,28-04-2016 16:00:00,RR,11.84,22.71
4/28/16,16:15:00,28-04-2016 16:15:00,RR,11.88,23.04
4/28/16,16:30:00,28-04-2016 16:30:00,RR,11.91,22.62
4/28/16,16:45:00,28-04-2016 16:45:00,RR,11.94,22.01
4/28/16,17:00:00,28-04-2016 17:00:00,RR,12,21.27
4/28/16,17:15:00,28-04-2016 17:15:00,RR,11.98,21.06
4/28/16,17:30:00,28-04-2016 17:30:00,RR,12.06,20.52
4/28/16,17:45:00,28-04-2016 17:45:00,RR,12.13,19.8
4/28/16,18:00:00,28-04-2016 18:00:00,RR,12.27,18.9
4/28/16,18:15:00,28-04-2016 18:15:00,RR,12.29,18.29
4/28/16,18:30:00,28-04-2016 18:30:00,RR,12.31,17.51
4/28/16,18:45:00,28-04-2016 18:45:00,RR,12.3,16.58
4/28/16,19:00:00,28-04-2016 19:00:00,RR,12.29,16.06
4/28/16,19:15:00,28-04-2016 19:15:00,RR,12.26,15.48
4/28/16,19:30:00,28-04-2016 19:30:00,RR,12.22,14.89
4/28/16,19:45:00,28-04-2016 19:45:00,RR,12.19,14.67
4/28/16,20:00:00,28-04-2016 20:00:00,RR,12.14,14.07
4/28/16,20:15:00,28-04-2016 20:15:00,RR,12.12,13.48
4/28/16,20:30:00,28-04-2016 20:30:00,RR,12.08,12.8
4/28/16,20:45:00,28-04-2016 20:45:00,RR,12.06,12.36
4/28/16,21:00:00,28-04-2016 21:00:00,RR,12.04,11.75
4/28/16,21:15:00,28-04-2016 21:15:00,RR,12.02,11.48
4/28/16,21:30:00,28-04-2016 21:30:00,RR,12.01,10.94
4/28/16,21:45:00,28-04-2016 21:45:00,RR,11.97,10.45
4/28/16,22:00:00,28-04-2016 22:00:00,RR,11.96,9.96
4/28/16,22:15:00,28-04-2016 22:15:00,RR,11.93,9.56
4/28/16,22:30:00,28-04-2016 22:30:00,RR,11.92,9.13
4/28/16,22:45:00,28-04-2016 22:45:00,RR,11.93,8.67
4/28/16,23:00:00,28-04-2016 23:00:00,RR,NA,NA
4/28/16,23:15:00,28-04-2016 23:15:00,RR,NA,NA
4/28/16,23:30:00,28-04-2016 23:30:00,RR,NA,NA
4/28/16,23:45:00,28-04-2016 23:45:00,RR,NA,NA
4/29/16,0:00:00,29-04-2016 00:00:00,RR,NA,NA
4/29/16,0:15:00,29-04-2016 00:15:00,RR,11.92,11.7
4/29/16,0:30:00,29-04-2016 00:30:00,RR,11.93,12.61
4/29/16,0:45:00,29-04-2016 00:45:00,RR,11.9,13.39
4/29/16,1:00:00,29-04-2016 01:00:00,RR,11.86,14.49
4/29/16,1:15:00,29-04-2016 01:15:00,RR,11.76,15.34
4/29/16,1:30:00,29-04-2016 01:30:00,RR,11.63,16.43
4/29/16,1:45:00,29-04-2016 01:45:00,RR,11.5,17.69
4/29/16,2:00:00,29-04-2016 02:00:00,RR,11.42,19.14
4/29/16,2:15:00,29-04-2016 02:15:00,RR,11.39,20.22
4/29/16,2:30:00,29-04-2016 02:30:00,RR,11.35,21.07
4/29/16,2:45:00,29-04-2016 02:45:00,RR,11.25,21.83
4/29/16,3:00:00,29-04-2016 03:00:00,RR,11.16,22.41
4/29/16,3:15:00,29-04-2016 03:15:00,RR,11.07,22.69
4/29/16,3:30:00,29-04-2016 03:30:00,RR,10.96,23.16
4/29/16,3:45:00,29-04-2016 03:45:00,RR,10.84,23.52
4/29/16,4:00:00,29-04-2016 04:00:00,RR,10.84,23.64
4/29/16,4:15:00,29-04-2016 04:15:00,RR,10.79,23.94
4/29/16,4:30:00,29-04-2016 04:30:00,RR,10.74,23.78
4/29/16,4:45:00,29-04-2016 04:45:00,RR,10.73,23.93
4/29/16,5:00:00,29-04-2016 05:00:00,RR,10.78,23.72
4/29/16,5:15:00,29-04-2016 05:15:00,RR,10.9,23.06
4/29/16,5:30:00,29-04-2016 05:30:00,RR,11.07,22.16
4/29/16,5:45:00,29-04-2016 05:45:00,RR,11.12,21.94
4/29/16,6:00:00,29-04-2016 06:00:00,RR,11.18,21.01
4/29/16,6:15:00,29-04-2016 06:15:00,RR,11.23,20.28
4/29/16,6:30:00,29-04-2016 06:30:00,RR,11.28,19.62
4/29/16,6:45:00,29-04-2016 06:45:00,RR,11.33,18.87
4/29/16,7:00:00,29-04-2016 07:00:00,RR,11.35,18.16
4/29/16,7:15:00,29-04-2016 07:15:00,RR,11.41,17.53
4/29/16,7:30:00,29-04-2016 07:30:00,RR,11.45,17.1
4/29/16,7:45:00,29-04-2016 07:45:00,RR,11.52,16.45
4/29/16,8:00:00,29-04-2016 08:00:00,RR,11.54,15.92
4/29/16,8:15:00,29-04-2016 08:15:00,RR,11.61,15.71
4/29/16,8:30:00,29-04-2016 08:30:00,RR,11.69,15.09
4/29/16,8:45:00,29-04-2016 08:45:00,RR,11.73,14.67
4/29/16,9:00:00,29-04-2016 09:00:00,RR,11.76,14.27
4/29/16,9:15:00,29-04-2016 09:15:00,RR,11.79,13.77
4/29/16,9:30:00,29-04-2016 09:30:00,RR,11.78,13.24
4/29/16,9:45:00,29-04-2016 09:45:00,RR,11.77,12.86
4/29/16,10:00:00,29-04-2016 10:00:00,RR,11.8,12.36
4/29/16,10:15:00,29-04-2016 10:15:00,RR,11.8,11.83
4/29/16,10:30:00,29-04-2016 10:30:00,RR,11.88,11.34
4/29/16,10:45:00,29-04-2016 10:45:00,RR,11.92,11.02
4/29/16,11:00:00,29-04-2016 11:00:00,RR,11.96,10.47
4/29/16,11:15:00,29-04-2016 11:15:00,RR,11.98,9.9
4/29/16,11:30:00,29-04-2016 11:30:00,RR,NA,NA
4/29/16,11:45:00,29-04-2016 11:45:00,RR,NA,NA
4/29/16,12:00:00,29-04-2016 12:00:00,RR,NA,NA
4/29/16,12:15:00,29-04-2016 12:15:00,RR,NA,NA
4/29/16,12:30:00,29-04-2016 12:30:00,RR,NA,NA
4/29/16,12:45:00,29-04-2016 12:45:00,RR,NA,NA
4/29/16,13:00:00,29-04-2016 13:00:00,RR,NA,NA
4/29/16,13:15:00,29-04-2016 13:15:00,RR,NA,NA
4/29/16,13:30:00,29-04-2016 13:30:00,RR,12.29,13.55
4/29/16,13:45:00,29-04-2016 13:45:00,RR,12.39,14.21
4/29/16,14:00:00,29-04-2016 14:00:00,RR,12.52,14.78
4/29/16,14:15:00,29-04-2016 14:15:00,RR,12.59,15.61
4/29/16,14:30:00,29-04-2016 14:30:00,RR,12.63,16.61
4/29/16,14:45:00,29-04-2016 14:45:00,RR,12.61,17.81
4/29/16,15:00:00,29-04-2016 15:00:00,RR,12.58,18.64
4/29/16,15:15:00,29-04-2016 15:15:00,RR,12.46,19.64
4/29/16,15:30:00,29-04-2016 15:30:00,RR,12.33,20.36
4/29/16,15:45:00,29-04-2016 15:45:00,RR,12.28,20.93
4/29/16,16:00:00,29-04-2016 16:00:00,RR,12.22,21.5
4/29/16,16:15:00,29-04-2016 16:15:00,RR,12.19,21.94
4/29/16,16:30:00,29-04-2016 16:30:00,RR,12.2,22.23
4/29/16,16:45:00,29-04-2016 16:45:00,RR,12.21,22.36
4/29/16,17:00:00,29-04-2016 17:00:00,RR,12.21,22.37
4/29/16,17:15:00,29-04-2016 17:15:00,RR,12.21,22.36
4/29/16,17:30:00,29-04-2016 17:30:00,RR,12.23,21.92
4/29/16,17:45:00,29-04-2016 17:45:00,RR,12.3,21.43
4/29/16,18:00:00,29-04-2016 18:00:00,RR,12.37,20.81
4/29/16,18:15:00,29-04-2016 18:15:00,RR,12.42,20.29
