Date,Time,Timestamp,Station,Temp,Salinity
4/13/17,12:00:00,13-04-2017 12:00:00,RR,11.01,9.61
4/13/17,12:15:00,13-04-2017 12:15:00,RR,10.81,11.13
4/13/17,12:30:00,13-04-2017 12:30:00,RR,10.7,12.34
4/13/17,12:45:00,13-04-2017 12:45:00,RR,10.66,13.05
4/13/17,13:00:00,13-04-2017 13:00:00,RR,10.65,13.57
4/13/17,13:15:00,13-04-2017 13:15:00,RR,10.7,13.71
4/13/17,13:30:00,13-04-2017 13:30:00,RR,10.63,14.17
4/13/17,13:45:00,13-04-2017 13:45:00,RR,10.6,14.54
4/13/17,14:00:00,13-04-2017 14:00:00,RR,10.59,14.56
4/13/17,14:15:00,13-04-2017 14:15:00,RR,10.9,13.74
4/13/17,14:30:00,13-04-2017 14:30:00,RR,10.99,12.7
4/13/17,14:45:00,13-04-2017 14:45:00,RR,11.16,11.73
4/13/17,15:00:00,13-04-2017 15:00:00,RR,11.42,10.59
4/13/17,15:15:00,13-04-2017 15:15:00,RR,11.65,9.44
4/13/17,15:30:00,13-04-2017 15:30:00,RR,11.92,8.25
4/13/17,15:45:00,13-04-2017 15:45:00,RR,12.14,7.09
4/13/17,16:00:00,13-04-2017 16:00:00,RR,12.27,6.41
4/13/17,16:15:00,13-04-2017 16:15:00,RR,12.41,5.65
4/13/17,16:30:00,13-04-2017 16:30:00,RR,12.53,5.04
4/13/17,16:45:00,13-04-2017 16:45:00,RR,12.58,4.77
4/13/17,17:00:00,13-04-2017 17:00:00,RR,12.71,4.15
4/13/17,17:15:00,13-04-2017 17:15:00,RR,12.81,3.68
4/13/17,17:30:00,13-04-2017 17:30:00,RR,12.97,3.02
4/13/17,17:45:00,13-04-2017 17:45:00,RR,13.06,2.75
4/13/17,18:00:00,13-04-2017 18:00:00,RR,13.11,2.38
4/13/17,18:15:00,13-04-2017 18:15:00,RR,13.21,2.02
4/13/17,18:30:00,13-04-2017 18:30:00,RR,13.29,1.73
4/13/17,18:45:00,13-04-2017 18:45:00,RR,13.35,1.51
4/13/17,19:00:00,13-04-2017 19:00:00,RR,13.43,1.37
4/13/17,19:15:00,13-04-2017 19:15:00,RR,13.45,1.38
4/13/17,19:30:00,13-04-2017 19:30:00,RR,13.47,1.11
4/13/17,19:45:00,13-04-2017 19:45:00,RR,13.49,1.09
4/13/17,20:00:00,13-04-2017 20:00:00,RR,13.5,1.04
4/13/17,20:15:00,13-04-2017 20:15:00,RR,13.5,0.96
4/13/17,20:30:00,13-04-2017 20:30:00,RR,13.5,0.92
4/13/17,20:45:00,13-04-2017 20:45:00,RR,13.49,0.84
4/13/17,21:00:00,13-04-2017 21:00:00,RR,13.42,0.97
4/13/17,21:15:00,13-04-2017 21:15:00,RR,13.29,1.24
4/13/17,21:30:00,13-04-2017 21:30:00,RR,13.36,1.35
4/13/17,21:45:00,13-04-2017 21:45:00,RR,13.24,1.89
4/13/17,22:00:00,13-04-2017 22:00:00,RR,13.06,2.23
