Date,Time,Station,Temp,SpCond,Cond,Salinity,DOsat%,DOsat%Local,DO Conc,Depth,Comments
2016-04-28,12:30:00,RR,11.83,19.64,14.70,11.72,87.3,87.7,8.78,0.78,NA
2016-04-28,12:45:00,RR,11.87,21.78,16.32,13.12,87.7,88.1,8.73,0.93,NA
2016-04-28,13:00:00,RR,12.09,23.29,17.54,14.11,88.8,89.2,8.74,1.09,NA
2016-04-28,13:15:00,RR,12.15,24.66,18.61,15.01,89.0,89.4,8.70,1.26,Cond flagged by spike screen
2016-04-28,13:30:00,RR,12.24,26.69,20.18,16.37,90.6,91.0,8.77,1.43,Cond flagged by spike screen
2016-04-28,13:45:00,RR,12.08,28.99,21.84,17.91,92.7,93.1,8.91,1.61,Cond flagged by spike screen
2016-04-28,14:00:00,RR,12.05,30.10,22.66,18.66,93.8,94.2,8.98,1.78,Cond flagged by spike screen
2016-04-28,14:15:00,RR,11.94,31.30,23.49,19.48,94.7,95.1,9.04,1.95,Cond flagged by spike screen
2016-04-28,14:30:00,RR,11.78,32.46,24.26,20.26,95.8,96.2,9.13,2.11,NA
2016-04-28,14:45:00,RR,11.71,33.49,24.99,20.97,97.2,97.6,9.24,2.24,NA
2016-04-28,15:00:00,RR,11.69,34.40,25.66,21.60,98.4,98.8,9.32,2.37,NA
2016-04-28,15:15:00,RR,11.71,35.00,26.12,22.01,99.6,100.1,9.41,2.46,NA
2016-04-28,15:30:00,RR,11.80,35.80,26.77,22.56,100.9,101.3,9.48,2.53,NA
2016-04-28,15:45:00,RR,11.86,36.23,27.13,22.86,101.9,102.3,9.54,2.56,Cond flagged by spike screen
2016-04-28,16:00:00,RR,11.84,36.00,26.96,22.71,101.9,102.4,9.55,2.58,Cond flagged by spike screen
2016-04-28,16:15:00,RR,11.88,36.48,27.34,23.04,102.6,103.0,9.59,2.56,Cond flagged by spike screen
2016-04-28,16:30:00,RR,11.91,35.87,26.91,22.62,102.3,102.8,9.59,2.50,Cond flagged by spike screen
2016-04-28,16:45:00,RR,11.94,35.00,26.27,22.01,101.2,101.7,9.51,2.42,Cond flagged by spike screen
2016-04-28,17:00:00,RR,12.00,33.92,25.50,21.27,99.7,100.2,9.40,2.34,NA
2016-04-28,17:15:00,RR,11.98,33.61,25.25,21.06,98.3,98.7,9.29,2.23,NA
2016-04-28,17:30:00,RR,12.06,32.82,24.71,20.52,97.5,97.9,9.22,2.14,NA
2016-04-28,17:45:00,RR,12.13,31.77,23.96,19.80,96.8,97.2,9.19,2.05,NA
2016-04-28,18:00:00,RR,12.27,30.44,23.03,18.90,95.7,96.1,9.11,1.96,NA
2016-04-28,18:15:00,RR,12.29,29.55,22.37,18.29,94.9,95.3,9.06,1.87,NA
2016-04-28,18:30:00,RR,12.31,28.38,21.50,17.51,94.2,94.6,9.03,1.76,NA
2016-04-28,18:45:00,RR,12.30,27.00,20.46,16.58,93.1,93.6,8.99,1.66,NA
2016-04-28,19:00:00,RR,12.29,26.23,19.86,16.06,92.4,92.8,8.94,1.55,NA
2016-04-28,19:15:00,RR,12.26,25.36,19.19,15.48,91.7,92.1,8.91,1.45,NA
2016-04-28,19:30:00,RR,12.22,24.48,18.50,14.89,91.1,91.5,8.89,1.34,NA
2016-04-28,19:45:00,RR,12.19,24.14,18.23,14.67,90.6,91.0,8.87,1.24,NA
2016-04-28,20:00:00,RR,12.14,23.23,17.53,14.07,90.0,90.4,8.85,1.14,NA
2016-04-28,20:15:00,RR,12.12,22.34,16.84,13.48,89.7,90.1,8.86,1.05,NA
2016-04-28,20:30:00,RR,12.08,21.30,16.04,12.80,89.4,89.8,8.87,0.96,NA
2016-04-28,20:45:00,RR,12.06,20.62,15.52,12.36,89.2,89.6,8.88,0.87,NA
2016-04-28,21:00:00,RR,12.04,19.68,14.81,11.75,88.9,89.3,8.90,0.79,NA
2016-04-28,21:15:00,RR,12.02,19.26,14.48,11.48,89.0,89.4,8.92,0.71,NA
2016-04-28,21:30:00,RR,12.01,18.43,13.86,10.94,88.9,89.3,8.95,0.63,NA
2016-04-28,21:45:00,RR,11.97,17.66,13.26,10.45,88.9,89.3,8.97,0.56,NA
2016-04-28,22:00:00,RR,11.96,16.90,12.69,9.96,89.1,89.4,9.03,0.50,NA
2016-04-28,22:15:00,RR,11.93,16.26,12.20,9.56,89.1,89.5,9.06,0.44,NA
2016-04-28,22:30:00,RR,11.92,15.59,11.70,9.13,89.1,89.5,9.08,0.40,NA
2016-04-28,22:45:00,RR,11.93,14.86,11.15,8.67,89.3,89.7,9.13,0.40,NA
2016-04-28,23:00:00,RR,NA,NA,NA,NA,NA,NA,NA,NA,Sonde out of the water
2016-04-28,23:15:00,RR,NA,NA,NA,NA,NA,NA,NA,NA,Sonde out of the water
2016-04-28,23:30:00,RR,NA,NA,NA,NA,NA,NA,NA,NA,Sonde out of the water
2016-04-28,23:45:00,RR,NA,NA,NA,NA,NA,NA,NA,NA,Sonde out of the water
2016-04-29,00:00:00,RR,NA,NA,NA,NA,NA,NA,NA,NA,Sonde out of the water
2016-04-29,00:15:00,RR,11.92,19.61,14.71,11.70,88.1,88.4,8.83,0.91,NA
2016-04-29,00:30:00,RR,11.93,21.01,15.77,12.61,87.2,87.5,8.69,1.04,NA
2016-04-29,00:45:00,RR,11.90,22.20,16.65,13.39,87.0,87.4,8.64,1.18,NA
2016-04-29,01:00:00,RR,11.86,23.88,17.89,14.49,87.4,87.8,8.63,1.33,NA
2016-04-29,01:15:00,RR,11.76,25.16,18.80,15.34,87.8,88.1,8.64,1.48,NA
2016-04-29,01:30:00,RR,11.63,26.80,19.96,16.43,88.9,89.3,8.71,1.65,NA
2016-04-29,01:45:00,RR,11.50,28.68,21.28,17.69,89.8,90.2,8.76,1.82,NA
2016-04-29,02:00:00,RR,11.42,30.82,22.83,19.14,91.4,91.8,8.84,2.00,NA
2016-04-29,02:15:00,RR,11.39,32.41,23.99,20.22,92.6,93.0,8.91,2.17,NA
2016-04-29,02:30:00,RR,11.35,33.65,24.88,21.07,93.8,94.2,8.98,2.33,NA
2016-04-29,02:45:00,RR,11.25,34.76,25.63,21.83,94.8,95.2,9.05,2.47,NA
2016-04-29,03:00:00,RR,11.16,35.61,26.20,22.41,95.6,96.1,9.12,2.60,NA
