Date,Time,Station,Temp,SpCond,Cond,Salinity,DOsat%,DOsat%Local,DO Conc,Depth,Comments
2017-04-13,12:00:00,RR,11.01,16.36,11.99,9.61,93.3,92.8,9.68,2.39,NA
2017-04-13,12:15:00,RR,10.81,18.75,13.67,11.13,94.9,94.4,9.80,2.57,NA
2017-04-13,12:30:00,RR,10.70,20.62,14.99,12.34,96.4,95.9,9.90,2.72,NA
2017-04-13,12:45:00,RR,10.66,21.72,15.77,13.05,97.3,96.7,9.95,2.82,NA
2017-04-13,13:00:00,RR,10.65,22.50,16.33,13.57,97.6,97.1,9.96,2.89,NA
2017-04-13,13:15:00,RR,10.70,22.72,16.52,13.71,97.8,97.3,9.96,2.92,NA
2017-04-13,13:30:00,RR,10.63,23.42,16.99,14.17,97.9,97.4,9.95,2.92,NA
2017-04-13,13:45:00,RR,10.60,23.99,17.39,14.54,98.2,97.6,9.97,2.89,NA
2017-04-13,14:00:00,RR,10.59,24.01,17.40,14.56,98.7,98.2,10.02,2.82,NA
2017-04-13,14:15:00,RR,10.90,22.76,16.63,13.74,98.4,97.8,9.96,2.73,NA
2017-04-13,14:30:00,RR,10.99,21.17,15.50,12.70,97.3,96.7,9.90,2.62,NA
2017-04-13,14:45:00,RR,11.16,19.67,14.47,11.73,96.2,95.7,9.81,2.49,NA
2017-04-13,15:00:00,RR,11.42,17.89,13.25,10.59,95.5,94.9,9.75,2.37,NA
2017-04-13,15:15:00,RR,11.65,16.08,11.98,9.44,94.8,94.3,9.71,2.24,NA
2017-04-13,15:30:00,RR,11.92,14.19,10.64,8.25,93.7,93.2,9.61,2.12,NA
2017-04-13,15:45:00,RR,12.14,12.33,9.30,7.09,92.8,92.3,9.54,1.99,NA
2017-04-13,16:00:00,RR,12.27,11.22,8.50,6.41,92.1,91.5,9.47,1.87,NA
2017-04-13,16:15:00,RR,12.41,9.98,7.58,5.65,91.1,90.6,9.39,1.75,NA
2017-04-13,16:30:00,RR,12.53,8.97,6.84,5.04,90.6,90.1,9.35,1.63,NA
2017-04-13,16:45:00,RR,12.58,8.52,6.50,4.77,90.1,89.6,9.30,1.52,NA
2017-04-13,17:00:00,RR,12.71,7.48,5.72,4.15,89.5,89.0,9.25,1.40,NA
2017-04-13,17:15:00,RR,12.81,6.68,5.13,3.68,89.2,88.6,9.22,1.29,NA
2017-04-13,17:30:00,RR,12.97,5.55,4.28,3.02,88.6,88.1,9.17,1.19,NA
2017-04-13,17:45:00,RR,13.06,5.08,3.92,2.75,88.2,87.7,9.12,1.09,NA
2017-04-13,18:00:00,RR,13.11,4.44,3.43,2.38,88.0,87.5,9.11,1.00,NA
2017-04-13,18:15:00,RR,13.21,3.80,2.94,2.02,87.7,87.2,9.09,0.91,NA
2017-04-13,18:30:00,RR,13.29,3.28,2.55,1.73,87.6,87.1,9.07,0.82,NA
2017-04-13,18:45:00,RR,13.35,2.89,2.25,1.51,87.4,86.9,9.05,0.74,NA
2017-04-13,19:00:00,RR,13.43,2.62,2.04,1.37,87.3,86.8,9.03,0.66,NA
2017-04-13,19:15:00,RR,13.45,2.66,2.07,1.38,87.1,86.6,9.00,0.59,NA
2017-04-13,19:30:00,RR,13.47,2.15,1.68,1.11,87.0,86.5,9.01,0.52,NA
2017-04-13,19:45:00,RR,13.49,2.12,1.65,1.09,86.9,86.5,9.00,0.45,NA
2017-04-13,20:00:00,RR,13.50,2.03,1.58,1.04,86.8,86.3,8.99,0.39,NA
2017-04-13,20:15:00,RR,13.50,1.87,1.46,0.96,86.9,86.4,9.00,0.35,NA
2017-04-13,20:30:00,RR,13.50,1.80,1.40,0.92,86.8,86.3,9.00,0.34,NA
2017-04-13,20:45:00,RR,13.49,1.65,1.29,0.84,86.4,85.9,8.96,0.40,NA
2017-04-13,21:00:00,RR,13.42,1.90,1.48,0.97,86.5,86.0,8.97,0.48,NA
2017-04-13,21:15:00,RR,13.29,2.39,1.85,1.24,85.9,85.4,8.93,0.57,NA
2017-04-13,21:30:00,RR,13.36,2.60,2.03,1.35,85.4,84.9,8.85,0.70,NA
2017-04-13,21:45:00,RR,13.24,3.57,2.77,1.89,85.7,85.2,8.88,0.84,NA
2017-04-13,22:00:00,RR,13.06,4.18,3.23,2.23,85.2,84.8,8.85,1.00,NA
2017-04-13,22:15:00,RR,12.92,4.83,3.72,2.60,85.9,85.4,8.92,1.16,NA
2017-04-13,22:30:00,RR,12.67,5.97,4.56,3.26,86.6,86.1,9.01,1.35,NA
2017-04-13,22:45:00,RR,12.39,7.33,5.56,4.06,87.0,86.5,9.06,1.55,NA
2017-04-13,23:00:00,RR,11.96,10.02,7.53,5.67,88.3,87.8,9.19,1.76,NA
2017-04-13,23:15:00,RR,11.43,13.59,10.07,7.87,91.0,90.5,9.45,1.98,NA
2017-04-13,23:30:00,RR,11.12,15.94,11.71,9.34,92.5,92.0,9.59,2.19,NA
2017-04-13,23:45:00,RR,10.87,18.11,13.23,10.73,94.1,93.6,9.73,2.40,NA
2017-04-14,00:00:00,RR,10.65,20.20,14.67,12.07,95.4,94.8,9.82,2.58,NA
2017-04-14,00:15:00,RR,10.49,21.59,15.60,12.97,96.2,95.7,9.89,2.74,NA
2017-04-14,00:30:00,RR,10.30,23.06,16.59,13.93,96.6,96.1,9.91,2.88,NA
2017-04-14,00:45:00,RR,10.11,24.56,17.58,14.91,97.4,96.8,9.97,2.98,NA
2017-04-14,01:00:00,RR,10.01,25.50,18.20,15.53,97.6,97.1,9.98,3.05,NA
2017-04-14,01:15:00,RR,9.95,26.10,18.60,15.93,97.9,97.3,9.99,3.08,NA
2017-04-14,01:30:00,RR,9.90,26.14,18.60,15.95,97.7,97.1,9.98,3.09,NA
2017-04-14,01:45:00,RR,9.86,26.60,18.91,16.26,97.8,97.2,9.98,3.09,NA
2017-04-14,02:00:00,RR,9.83,27.45,19.50,16.83,98.4,97.8,10.01,3.06,NA
2017-04-14,02:15:00,RR,9.83,27.45,19.49,16.82,98.5,98.0,10.03,3.01,Cond flagged by spike screen
2017-04-14,02:30:00,RR,9.86,26.94,19.15,16.48,98.1,97.6,10.00,2.93,Cond flagged by spike screen
2017-04-14,02:45:00,RR,9.94,26.43,18.83,16.15,97.4,96.9,9.93,2.82,Cond flagged by spike screen
2017-04-14,03:00:00,RR,10.17,24.04,17.23,14.57,96.3,95.7,9.86,2.70,Cond flagged by spike screen
2017-04-14,03:15:00,RR,10.29,22.57,16.23,13.60,95.2,94.7,9.79,2.57,Cond flagged by spike screen
2017-04-14,03:30:00,RR,10.41,21.35,15.40,12.81,94.4,93.8,9.72,2.44,NA
2017-04-14,03:45:00,RR,10.59,19.38,14.05,11.54,92.9,92.4,9.61,2.31,NA
2017-04-14,04:00:00,RR,10.78,17.38,12.66,10.26,91.4,90.9,9.49,2.17,NA
2017-04-14,04:15:00,RR,10.96,15.88,11.62,9.31,90.5,90.0,9.42,2.04,NA
2017-04-14,04:30:00,RR,11.10,14.21,10.44,8.26,89.5,89.0,9.34,1.90,NA
2017-04-14,04:45:00,RR,11.28,12.91,9.53,7.44,88.4,87.9,9.24,1.77,NA
2017-04-14,05:00:00,RR,11.43,11.70,8.67,6.70,87.6,87.1,9.17,1.65,NA
2017-04-14,05:15:00,RR,11.55,10.62,7.89,6.04,86.9,86.4,9.11,1.53,NA
2017-04-14,05:30:00,RR,11.69,9.58,7.14,5.40,86.2,85.7,9.05,1.41,NA
2017-04-14,05:45:00,RR,11.80,8.67,6.49,4.86,85.5,85.0,8.97,1.30,NA
2017-04-14,06:00:00,RR,11.88,7.79,5.84,4.33,84.9,84.4,8.93,1.20,NA
2017-04-14,06:15:00,RR,12.01,6.91,5.19,3.81,84.4,83.9,8.88,1.10,NA
2017-04-14,06:30:00,RR,12.11,6.14,4.63,3.36,84.0,83.5,8.84,1.00,NA
2017-04-14,06:45:00,RR,12.22,5.39,4.08,2.93,83.7,83.2,8.81,0.91,NA
2017-04-14,07:00:00,RR,12.31,4.72,3.58,2.54,83.6,83.1,8.80,0.82,NA
2017-04-14,07:15:00,RR,12.36,4.26,3.23,2.28,83.5,83.1,8.80,0.74,NA
2017-04-14,07:30:00,RR,12.45,3.75,2.85,1.99,83.5,83.0,8.80,0.65,NA
2017-04-14,07:45:00,RR,12.51,3.41,2.60,1.80,83.5,83.1,8.80,0.58,NA
2017-04-14,08:00:00,RR,12.58,3.05,2.33,1.60,83.8,83.3,8.83,0.51,NA
2017-04-14,08:15:00,RR,12.70,2.73,2.09,1.42,84.0,83.5,8.83,0.44,NA
