SG_number,ID_SiteDate
SG_1642,SaltBay_Canada_2022-9-27
SG_1486,NR_NB_RI_2022-8-19
SG_1467,SR_GB_NH_2022-8-12
SG_1296,Sapelo_Is_GA_2022-7-17
SG_1702,SaLa_GA_2022-10-5
SG_1362,Nickle_Rf_LA_2022-8-1
SG_1498,NR_NB_RI_2022-8-19
SG_1745,WS_CB_VA_2022-10-7
SG_1732,WS_CB_VA_2022-10-7
SG_1518,DC_NB_RI_2022-8-19
SG_1731,WS_CB_VA_2022-10-7
SG_1324,Mer_GA_2022-7-26
SG_1097,GalBay_TX
SG_1194,Culch_Ba_LA_2022-6-21
SG_1604,SawIs_MA_2022-9-5
SG_1791,NPS_PS_NC_2022-10-12
SG_1867,LCP_UP_MD_2022-10-20
SG_1634,SaltBay_Canada_2022-9-27
SG_1922,Orrs_Cove_ME_2022-10-31
SG_1895,DC_DR_ME_2022-10-25
SG_1511,DC_NB_RI_2022-8-19
SG_1636,SaltBay_Canada_2022-9-27
SG_1342,Mer_GA_2022-7-26
SG_1771,DWS_CB_VA_2022-10-7
SG_1309,Sapelo_Is_GA_2022-7-17
SG_1363,Nickle_Rf_LA_2022-8-1
SG_1292,Sapelo_Is_GA_2022-7-17
SG_1428,GriceCove_SC_2022-8-10
SG_1344,Mer_GA_2022-7-26
SG_1849,LCP_UP_MD_2022-10-20
SG_1728,WS_CB_VA_2022-10-7
SG_1297,Sapelo_Is_GA_2022-7-17
SG_1148,FP_Sav_GA_2022-6-10
SG_1478,SR_GB_NH_2022-8-12
SG_1164,SkR_GA_2022-6-14
SG_1712,SaLa_GA_2022-10-5
SG_1546,CPR_MS_AL_2022-8-24
SG_1923,Orrs_Cove_ME_2022-10-31
SG_1880,DC_DR_ME_2022-10-25
SG_1805,NPS_PS_NC_2022-10-12
SG_1852,LCP_UP_MD_2022-10-20
SG_1638,SaltBay_Canada_2022-9-27
SG_1311,Sapelo_Is_GA_2022-7-17
SG_1325,Mer_GA_2022-7-26
SG_1645,SaltBay_Canada_2022-9-27
SG_1917,Orrs_Cove_ME_2022-10-31
SG_1799,NPS_PS_NC_2022-10-12
SG_1910,Orrs_Cove_ME_2022-10-31
SG_1168,SkR_GA_2022-6-14
SG_1924,Orrs_Cove_ME_2022-10-31
SG_1336,Mer_GA_2022-7-26
SG_1123,CB_TX_2022-6-9
SG_1807,NPS_PS_NC_2022-10-12
SG_1646,SaltBay_Canada_2022-9-27
SG_1171,SkR_GA_2022-6-14
SG_1341,Mer_GA_2022-7-26
SG_1331,Mer_GA_2022-7-26
SG_1298,Sapelo_Is_GA_2022-7-17
SG_1198,Culch_Ba_LA_2022-6-21
SG_1442,Cal_Lake_LA_2022-8-11
SG_1835,PrEdIs_CN_A_2022-10-18
SG_1514,DC_NB_RI_2022-8-19
SG_1294,Sapelo_Is_GA_2022-7-17
SG_1832,PrEdIs_CN_A_2022-10-18
SG_1503,NR_NB_RI_2022-8-19
SG_1694,SaLa_GA_2022-10-5
SG_1449,Cal_Lake_LA_2022-8-11
SG_1424,GriceCove_SC_2022-8-10
SG_1085,GalBay_TX
SG_1925,Orrs_Cove_ME_2022-10-31
SG_1170,SkR_GA_2022-6-14
SG_1912,Orrs_Cove_ME_2022-10-31
SG_1429,GriceCove_SC_2022-8-10
SG_1666,EelLake_Canada_2022-9-27
SG_1729,WS_CB_VA_2022-10-7
SG_1531,DC_NB_RI_2022-8-19
SG_1624,SawIs_MA_2022-9-5
SG_1334,Mer_GA_2022-7-26
SG_1384,Sister_Lk_LA_2022-8-9
SG_1730,WS_CB_VA_2022-10-7
SG_1215,TP_TX_2022-6-28
SG_1219,TP_TX_2022-6-28
SG_1365,Nickle_Rf_LA_2022-8-1
SG_1909,Orrs_Cove_ME_2022-10-31
SG_1715,SaLa_GA_2022-10-5
SG_1105,CB_TX_2022-6-9
SG_1509,NR_NB_RI_2022-8-19
SG_1146,FP_Sav_GA_2022-6-10
SG_1476,SR_GB_NH_2022-8-12
SG_1307,Sapelo_Is_GA_2022-7-17
SG_1218,TP_TX_2022-6-28
SG_1418,GriceCove_SC_2022-8-10
SG_1671,EelLake_Canada_2022-9-27
SG_1356,Nickle_Rf_LA_2022-8-1
SG_1186,Culch_Ba_LA_2022-6-21
SG_1641,SaltBay_Canada_2022-9-27
SG_1496,NR_NB_RI_2022-8-19
SG_1151,FP_Sav_GA_2022-6-10
SG_1854,LCP_UP_MD_2022-10-20
SG_1674,EelLake_Canada_2022-9-27
SG_1184,Culch_Ba_LA_2022-6-21
SG_1452,Cal_Lake_LA_2022-8-11
SG_1581,KP_FGR_FL_2022-8-23
SG_1696,SaLa_GA_2022-10-5
SG_1303,Sapelo_Is_GA_2022-7-17
SG_1800,NPS_PS_NC_2022-10-12
SG_1516,DC_NB_RI_2022-8-19
SG_1495,NR_NB_RI_2022-8-19
SG_1527,DC_NB_RI_2022-8-19
SG_1371,Nickle_Rf_LA_2022-8-1
SG_1855,LCP_UP_MD_2022-10-20
SG_1416,GriceCove_SC_2022-8-10
SG_1529,DC_NB_RI_2022-8-19
SG_1744,WS_CB_VA_2022-10-7
SG_1223,TP_TX_2022-6-28
SG_1167,SkR_GA_2022-6-14
SG_1407,GriceCove_SC_2022-8-10
SG_1682,EelLake_Canada_2022-9-27
SG_1134,FP_Sav_GA_2022-6-10
SG_1578,KP_FGR_FL_2022-8-23
SG_1252,CC_VA_2022-7-11
SG_1395,Sister_Lk_LA_2022-8-9
SG_1439,Cal_Lake_LA_2022-8-11
SG_1390,Sister_Lk_LA_2022-8-9
SG_1768,DWS_CB_VA_2022-10-7
SG_1766,DWS_CB_VA_2022-10-7
SG_1127,CB_TX_2022-6-9
SG_1258,CC_VA_2022-7-11
SG_1622,SawIs_MA_2022-9-5
SG_1451,Cal_Lake_LA_2022-8-11
SG_1473,SR_GB_NH_2022-8-12
SG_1468,SR_GB_NH_2022-8-12
SG_1618,SawIs_MA_2022-9-5
SG_1119,CB_TX_2022-6-9
SG_1431,Cal_Lake_LA_2022-8-11
SG_1120,CB_TX_2022-6-9
SG_1603,SawIs_MA_2022-9-5
SG_1397,Sister_Lk_LA_2022-8-9
SG_1886,DC_DR_ME_2022-10-25
SG_1249,CC_VA_2022-7-11
SG_1583,KP_FGR_FL_2022-8-23
SG_1610,SawIs_MA_2022-9-5
SG_1463,SR_GB_NH_2022-8-12
SG_1393,Sister_Lk_LA_2022-8-9
SG_1446,Cal_Lake_LA_2022-8-11
SG_1890,DC_DR_ME_2022-10-25
SG_1255,CC_VA_2022-7-11
SG_1765,DWS_CB_VA_2022-10-7
SG_1471,SR_GB_NH_2022-8-12
SG_1891,DC_DR_ME_2022-10-25
SG_1749,DWS_CB_VA_2022-10-7
SG_1126,CB_TX_2022-6-9
SG_1474,SR_GB_NH_2022-8-12
SG_1392,Sister_Lk_LA_2022-8-9
SG_1764,DWS_CB_VA_2022-10-7
SG_1761,DWS_CB_VA_2022-10-7
SG_1480,SR_GB_NH_2022-8-12
SG_1894,DC_DR_ME_2022-10-25
SG_1394,Sister_Lk_LA_2022-8-9
SG_1881,DC_DR_ME_2022-10-25
SG_1111,CB_TX_2022-6-9
SG_1598,KP_FGR_FL_2022-8-23
SG_1245,CC_VA_2022-7-11
SG_1613,SawIs_MA_2022-9-5
SG_1884,DC_DR_ME_2022-10-25
