SG_number,ID_SiteDate
SG_1483,NR_NB_RI_2022-8-19
SG_1403,GriceCove_SC_2022-8-10
SG_1816,PrEdIs_CN_A_2022-10-18
SG_1664,EelLake_Canada_2022-9-27
SG_1552,CPR_MS_AL_2022-8-24
SG_1494,NR_NB_RI_2022-8-19
SG_1811,PrEdIs_CN_A_2022-10-18
SG_1049,OL_MI_SC_2022-5-31
SG_1138,FP_Sav_GA_2022-6-10
SG_1299,Sapelo_Is_GA_2022-7-17
SG_1570,KP_FGR_FL_2022-8-23
SG_1133,FP_Sav_GA_2022-6-10
SG_1734,WS_CB_VA_2022-10-7
SG_1054,OL_MI_SC_2022-5-31
SG_1295,Sapelo_Is_GA_2022-7-17
SG_1660,EelLake_Canada_2022-9-27
SG_1739,WS_CB_VA_2022-10-7
SG_1572,KP_FGR_FL_2022-8-23
SG_1873,DC_DR_ME_2022-10-25
SG_1103,CB_TX_2022-6-9
SG_1756,DWS_CB_VA_2022-10-7
SG_1751,DWS_CB_VA_2022-10-7
SG_1231,CC_VA_2022-7-11
SG_1438,Cal_Lake_LA_2022-8-11
SG_1238,CC_VA_2022-7-11
SG_1573,KP_FGR_FL_2022-8-23
SG_1241,CC_VA_2022-7-11
SG_1775,DWS_CB_VA_2022-10-7
SG_1600,SawIs_MA_2022-9-5
SG_1574,KP_FGR_FL_2022-8-23
SG_1386,Sister_Lk_LA_2022-8-9
SG_1430,Cal_Lake_LA_2022-8-11
SG_1461,SR_GB_NH_2022-8-12
SG_1229,CC_VA_2022-7-11
SG_1457,SR_GB_NH_2022-8-12
SG_1376,Sister_Lk_LA_2022-8-9
SG_1877,DC_DR_ME_2022-10-25
SG_1605,SawIs_MA_2022-9-5
SG_1378,Sister_Lk_LA_2022-8-9
SG_1381,Sister_Lk_LA_2022-8-9
SG_1607,SawIs_MA_2022-9-5
SG_1576,KP_FGR_FL_2022-8-23
SG_1460,SR_GB_NH_2022-8-12
SG_1750,DWS_CB_VA_2022-10-7
SG_1434,Cal_Lake_LA_2022-8-11
SG_1874,DC_DR_ME_2022-10-25
SG_1868,DC_DR_ME_2022-10-25
SG_1458,SR_GB_NH_2022-8-12
SG_1611,SawIs_MA_2022-9-5
SG_1569,KP_FGR_FL_2022-8-23
SG_1104,CB_TX_2022-6-9
SG_1436,Cal_Lake_LA_2022-8-11
SG_1774,DWS_CB_VA_2022-10-7
SG_1383,Sister_Lk_LA_2022-8-9
SG_1989,AC_LIS_CT_2023-10-3
SG_2033,IL_ApBay_FL_2023-10-3
SG_2073,FC_LIS_CT_2023-10-11
SG_1315,Mer_GA_2022-7-26
SG_2017,IL_ApBay_FL_2023-10-3
SG_2065,IL_ApBay_FL_2023-10-3
SG_1230,CC_VA_2022-7-11
SG_1992,AC_LIS_CT_2023-10-3
SG_1158,SkR_GA_2022-6-14
SG_1619,SawIs_MA_2022-9-5
SG_2023,IL_ApBay_FL_2023-10-3
SG_1405,GriceCove_SC_2022-8-10
SG_1828,PrEdIs_CN_A_2022-10-18
SG_1522,DC_NB_RI_2022-8-19
SG_1999,AC_LIS_CT_2023-10-3
SG_2022,IL_ApBay_FL_2023-10-3
SG_1382,Sister_Lk_LA_2022-8-9
SG_1099,CB_TX_2022-6-9
SG_1907,Orrs_Cove_ME_2022-10-31
SG_1293,Sapelo_Is_GA_2022-7-17
SG_1129,FP_Sav_GA_2022-6-10
SG_1328,Mer_GA_2022-7-26
SG_1067,OL_MI_SC_2022-5-31
SG_1333,Mer_GA_2022-7-26
SG_1042,OL_MI_SC_2022-5-31
SG_2020,IL_ApBay_FL_2023-10-3
SG_1464,SR_GB_NH_2022-8-12
SG_2088,FC_LIS_CT_2023-10-11
SG_1652,SaltBay_Canada_2022-9-27
SG_2078,FC_LIS_CT_2023-10-11
SG_1162,SkR_GA_2022-6-14
SG_1691,SaLa_GA_2022-10-5
SG_1781,NPS_PS_NC_2022-10-12
SG_1178,Culch_Ba_LA_2022-6-21
SG_1072,GalBay_TX
SG_1323,Mer_GA_2022-7-26
SG_2085,FC_LIS_CT_2023-10-11
SG_2015,IL_ApBay_FL_2023-10-3
SG_1905,Orrs_Cove_ME_2022-10-31
SG_1073,GalBay_TX
SG_2095,FC_LIS_CT_2023-10-11
SG_1904,Orrs_Cove_ME_2022-10-31
SG_2076,FC_LIS_CT_2023-10-11
SG_1632,SaltBay_Canada_2022-9-27
SG_1962,FFJ_CF_NC_2023-7-19
SG_1387,Sister_Lk_LA_2022-8-9
SG_1933,UNCW_MS_NC_2023-7-17
SG_1997,AC_LIS_CT_2023-10-3
SG_1465,SR_GB_NH_2022-8-12
SG_2093,FC_LIS_CT_2023-10-11
SG_1988,AC_LIS_CT_2023-10-3
