OBJECTID,Station_Name,Depth,Parameter,Concentration,Unit,Monitoring_Location,Date_of_Sample,
18971,WW89,0.5,"Salinity, (ppt) - 00480",17.5,ppt,Narrow River 03 - Lower Pond A,5/27/19,00:00:00+00
18972,WW89,3,"Salinity, (ppt) - 00480",20.2,ppt,Narrow River 03 - Lower Pond A,5/27/19,00:00:00+00
18994,WW89,0.5,"Salinity, (ppt) - 00480",17.5,ppt,Narrow River 03 - Lower Pond A,6/8/19,00:00:00+00
18995,WW89,3,"Salinity, (ppt) - 00480",21.8,ppt,Narrow River 03 - Lower Pond A,6/8/19,00:00:00+00
19004,WW89,0.5,"Salinity, (ppt) - 00480",14,ppt,Narrow River 03 - Lower Pond A,6/23/19,00:00:00+00
19005,WW89,3,"Salinity, (ppt) - 00480",20,ppt,Narrow River 03 - Lower Pond A,6/23/19,00:00:00+00
19014,WW89,0.5,"Salinity, (ppt) - 00480",16.5,ppt,Narrow River 03 - Lower Pond A,7/10/19,00:00:00+00
19015,WW89,3,"Salinity, (ppt) - 00480",20,ppt,Narrow River 03 - Lower Pond A,7/10/19,00:00:00+00
19038,WW89,0.5,"Salinity, (ppt) - 00480",16,ppt,Narrow River 03 - Lower Pond A,7/20/19,00:00:00+00
19039,WW89,3,"Salinity, (ppt) - 00480",19.5,ppt,Narrow River 03 - Lower Pond A,7/20/19,00:00:00+00
19048,WW89,0.5,"Salinity, (ppt) - 00480",13,ppt,Narrow River 03 - Lower Pond A,8/4/19,00:00:00+00
19071,WW89,0.5,"Salinity, (ppt) - 00480",15,ppt,Narrow River 03 - Lower Pond A,8/17/19,00:00:00+00
19081,WW89,0.5,"Salinity, (ppt) - 00480",21.5,ppt,Narrow River 03 - Lower Pond A,9/1/19,00:00:00+00
19082,WW89,3,"Salinity, (ppt) - 00480",22.5,ppt,Narrow River 03 - Lower Pond A,9/1/19,00:00:00+00
19091,WW89,0.5,"Salinity, (ppt) - 00480",22,ppt,Narrow River 03 - Lower Pond A,9/14/19,00:00:00+00
19092,WW89,3,"Salinity, (ppt) - 00480",22.5,ppt,Narrow River 03 - Lower Pond A,9/14/19,00:00:00+00
19116,WW89,0.5,"Salinity, (ppt) - 00480",22,ppt,Narrow River 03 - Lower Pond A,9/21/19,00:00:00+00
19117,WW89,3,"Salinity, (ppt) - 00480",22.5,ppt,Narrow River 03 - Lower Pond A,9/21/19,00:00:00+00
19131,WW89,0.5,"Salinity, (ppt) - 00480",22,ppt,Narrow River 03 - Lower Pond A,10/5/19,00:00:00+00
19132,WW89,3,"Salinity, (ppt) - 00480",22.5,ppt,Narrow River 03 - Lower Pond A,10/5/19,00:00:00+00
19156,WW89,0.5,"Salinity, (ppt) - 00480",22,ppt,Narrow River 03 - Lower Pond A,10/19/19,00:00:00+00
19157,WW89,3,"Salinity, (ppt) - 00480",22.5,ppt,Narrow River 03 - Lower Pond A,10/19/19,00:00:00+00
19184,WW91,0.5,"Salinity, (ppt) - 00480",15,ppt,Narrow River 04 - Lower Pond B,5/24/19,00:00:00+00
19185,WW91,3,"Salinity, (ppt) - 00480",19,ppt,Narrow River 04 - Lower Pond B,5/24/19,00:00:00+00
19202,WW91,0.5,"Salinity, (ppt) - 00480",15,ppt,Narrow River 04 - Lower Pond B,6/7/19,00:00:00+00
19203,WW91,3,"Salinity, (ppt) - 00480",17.5,ppt,Narrow River 04 - Lower Pond B,6/7/19,00:00:00+00
19213,WW91,0.5,"Salinity, (ppt) - 00480",16,ppt,Narrow River 04 - Lower Pond B,7/8/19,00:00:00+00
19214,WW91,3,"Salinity, (ppt) - 00480",20,ppt,Narrow River 04 - Lower Pond B,7/8/19,00:00:00+00
19235,WW91,0.5,"Salinity, (ppt) - 00480",18,ppt,Narrow River 04 - Lower Pond B,7/19/19,00:00:00+00
19236,WW91,3,"Salinity, (ppt) - 00480",20.2,ppt,Narrow River 04 - Lower Pond B,7/19/19,00:00:00+00
19242,WW91,0.5,"Salinity, (ppt) - 00480",10,ppt,Narrow River 04 - Lower Pond B,8/2/19,00:00:00+00
19262,WW91,0.5,"Salinity, (ppt) - 00480",15,ppt,Narrow River 04 - Lower Pond B,8/16/19,00:00:00+00
19267,WW91,0.5,"Salinity, (ppt) - 00480",20,ppt,Narrow River 04 - Lower Pond B,8/29/19,00:00:00+00
19268,WW91,3,"Salinity, (ppt) - 00480",22.5,ppt,Narrow River 04 - Lower Pond B,8/29/19,00:00:00+00
19275,WW91,0.5,"Salinity, (ppt) - 00480",21.5,ppt,Narrow River 04 - Lower Pond B,9/14/19,00:00:00+00
19276,WW91,3,"Salinity, (ppt) - 00480",23.5,ppt,Narrow River 04 - Lower Pond B,9/14/19,00:00:00+00
19295,WW91,0.5,"Salinity, (ppt) - 00480",22,ppt,Narrow River 04 - Lower Pond B,9/21/19,00:00:00+00
19296,WW91,3,"Salinity, (ppt) - 00480",24.5,ppt,Narrow River 04 - Lower Pond B,9/21/19,00:00:00+00
19303,WW91,0.5,"Salinity, (ppt) - 00480",24.5,ppt,Narrow River 04 - Lower Pond B,10/4/19,00:00:00+00
19304,WW91,3,"Salinity, (ppt) - 00480",25,ppt,Narrow River 04 - Lower Pond B,10/4/19,00:00:00+00
