Station Name,Date,Time,Sample Type,Sample Media,Depth,Parameter,Concentration,Unit,Qualifier Code,Detection Limit,Detection Limit Unit,Quantitation Level,Quantitation Level Unit,Lab Name,Analytical Method Number,Comments,Location
WW89,8/1/14,,Grab,Water ,0.5,"Salinity, (ppt) - 00480",15.5,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 03 - Lower Pond A 
WW89,8/1/14,8:00:00 AM,Grab,Water,3,"Salinity, (ppt) - 00480",20,ppt,,0.4,ppt,0.4,ppt,URIWW,,High,NR 03 - Lower Pond A 
WW89,8/1/14,,Grab,Water ,3,"Salinity, (ppt) - 00480",20,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 03 - Lower Pond A 
WW91,8/1/14,2:00:00 PM,Grab,Water,0.5,"Salinity, (ppt) - 00480",17,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 04 - Lower Pond B 
WW91,8/1/14,,Grab,Water ,0.5,"Salinity, (ppt) - 00480",17,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 04 - Lower Pond B 
WW91,8/1/14,2:00:00 PM,Grab,Water,3,"Salinity, (ppt) - 00480",20,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 04 - Lower Pond B 
WW91,8/1/14,,Grab,Water ,3,"Salinity, (ppt) - 00480",20,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 04 - Lower Pond B 
WW89,8/16/14,10:00:00 AM,Grab,Water,1,"Salinity, (ppt) - 00480",19,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 03 - Lower Pond A 
WW89,8/16/14,,Grab,Water ,0.5,"Salinity, (ppt) - 00480",19,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 03 - Lower Pond A 
WW89,8/16/14,10:00:00 AM,Grab,Water,3,"Salinity, (ppt) - 00480",22,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 03 - Lower Pond A 
WW89,8/16/14,,Grab,Water ,3,"Salinity, (ppt) - 00480",22,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 03 - Lower Pond A 
WW91,8/16/14,8:30:00 AM,Grab,Water,0.5,"Salinity, (ppt) - 00480",20,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 04 - Lower Pond B 
WW91,8/16/14,,Grab,Water ,0.5,"Salinity, (ppt) - 00480",20,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 04 - Lower Pond B 
WW91,8/16/14,8:30:00 AM,Grab,Water,3,"Salinity, (ppt) - 00480",22,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 04 - Lower Pond B 
WW91,8/16/14,,Grab,Water ,3,"Salinity, (ppt) - 00480",22,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 04 - Lower Pond B 
