Station Name,Date,Time,Sample Type,Sample Media,Depth,Parameter,Concentration,Unit,Qualifier Code,Detection Limit,Detection Limit Unit,Quantitation Level,Quantitation Level Unit,Lab Name,Analytical Method Number,Comments,Location
WW91,5/8/15,8:30:00 AM,Grab,Water,0.5,"Salinity, (ppt) - 00480",18,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 04 - Lower Pond B
WW91,5/8/15,8:30:00 AM,Grab,Water,3,"Salinity, (ppt) - 00480",22,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 04 - Lower Pond B
WW91,5/22/15,8:25:00 AM,Grab,Water,1,"Salinity, (ppt) - 00480",20,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 04 - Lower Pond B
WW91,5/22/15,8:25:00 AM,Grab,Water,3,"Salinity, (ppt) - 00480",25,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 04 - Lower Pond B
WW91,6/6/15,9:05:00 AM,Grab,Water,1,"Salinity, (ppt) - 00480",17.75,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 04 - Lower Pond B
WW91,6/6/15,9:05:00 AM,Grab,Water,3,"Salinity, (ppt) - 00480",21.2,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 04 - Lower Pond B
WW91,6/20/15,8:00:00 AM,Grab,Water,0.5,"Salinity, (ppt) - 00480",19.5,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 04 - Lower Pond B
WW91,6/20/15,8:00:00 AM,Grab,Water,3,"Salinity, (ppt) - 00480",21.25,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 04 - Lower Pond B
WW91,7/18/15,9:00:00 AM,Grab,Water,0.5,"Salinity, (ppt) - 00480",18.75,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 04 - Lower Pond B
WW91,7/18/15,9:00:00 AM,Grab,Water,3,"Salinity, (ppt) - 00480",20,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 04 - Lower Pond B
WW91,8/1/15,8:15:00 AM,Grab,Water,0.5,"Salinity, (ppt) - 00480",17.5,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 04 - Lower Pond B
WW91,8/1/15,8:15:00 AM,Grab,Water,3,"Salinity, (ppt) - 00480",20,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 04 - Lower Pond B
WW91,8/8/15,7:30:00 AM,Grab,Water,0.5,"Salinity, (ppt) - 00480",18.5,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 04 - Lower Pond B
WW91,8/8/15,7:30:00 AM,Grab,Water,3,"Salinity, (ppt) - 00480",20,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 04 - Lower Pond B
WW91,8/22/15,10:00:00 AM,Grab,Water,0.5,"Salinity, (ppt) - 00480",21,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 04 - Lower Pond B
WW91,8/22/15,10:00:00 AM,Grab,Water,3,"Salinity, (ppt) - 00480",23,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 04 - Lower Pond B
WW91,9/7/15,10:00:00 AM,Grab,Water,0.5,"Salinity, (ppt) - 00480",26,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 04 - Lower Pond B
WW91,9/7/15,10:00:00 AM,Grab,Water,3,"Salinity, (ppt) - 00480",26,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 04 - Lower Pond B
WW91,9/19/15,7:50:00 AM,Grab,Water,0.5,"Salinity, (ppt) - 00480",24,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 04 - Lower Pond B
WW91,9/19/15,7:50:00 AM,Grab,Water,3,"Salinity, (ppt) - 00480",24.5,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 04 - Lower Pond B
WW91,10/16/15,3:30:00 PM,Grab,Water,0.5,"Salinity, (ppt) - 00480",24.5,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 04 - Lower Pond B
WW91,10/16/15,3:30:00 PM,Grab,Water,3,"Salinity, (ppt) - 00480",25,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 04 - Lower Pond B
WW89,5/8/15,10:20:00 AM,Grab,Water,0.5,"Salinity, (ppt) - 00480",17,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 03 - Lower Pond A
WW89,5/8/15,10:20:00 AM,Grab,Water,3,"Salinity, (ppt) - 00480",17.5,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 03 - Lower Pond A
WW89,5/22/15,8:20:00 AM,Grab,Water,3,"Salinity, (ppt) - 00480",21.5,ppt,,0.4,ppt,0.4,ppt,URIWW,,Flood,NR 03 - Lower Pond A
WW89,6/6/15,8:30:00 AM,Grab,Water,3,"Salinity, (ppt) - 00480",21.25,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 03 - Lower Pond A
WW89,6/19/15,7:45:00 AM,Grab,Water,0.5,"Salinity, (ppt) - 00480",18.75,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 03 - Lower Pond A
WW89,6/19/15,7:45:00 AM,Grab,Water,3,"Salinity, (ppt) - 00480",20.5,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 03 - Lower Pond A
WW89,7/4/15,8:00:00 AM,Grab,Water,0.5,"Salinity, (ppt) - 00480",16.5,ppt,,0.4,ppt,0.4,ppt,URIWW,,Flood,NR 03 - Lower Pond A
WW89,7/4/15,8:00:00 AM,Grab,Water,3,"Salinity, (ppt) - 00480",19,ppt,,0.4,ppt,0.4,ppt,URIWW,,Flood,NR 03 - Lower Pond A
WW89,7/18/15,8:10:00 AM,Grab,Water,0.5,"Salinity, (ppt) - 00480",18.5,ppt,,0.4,ppt,0.4,ppt,URIWW,,Flood,NR 03 - Lower Pond A
WW89,7/18/15,8:10:00 AM,Grab,Water,3,"Salinity, (ppt) - 00480",20.5,ppt,,0.4,ppt,0.4,ppt,URIWW,,Flood,NR 03 - Lower Pond A
WW89,8/1/15,8:15:00 AM,Grab,Water,0.5,"Salinity, (ppt) - 00480",17,ppt,,0.4,ppt,0.4,ppt,URIWW,,High,NR 03 - Lower Pond A
