Station Name,Date,Time,Sample Type,Sample Media,Depth,Parameter,Concentration,Unit,Qualifier Code,Detection Limit,Detection Limit Unit,Quantitation Level,Quantitation Level Unit,Lab Name,Analytical Method Number,Comments,Location
WW89,5/15/14,8:15:00 AM,Grab,Water,3,Temperature - 00011,15,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,NR 03 - Lower Pond A 
WW89,5/15/14,8:15:00 AM,Grab,Water,1,Temperature - 00011,19,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,NR 03 - Lower Pond A 
WW91,5/16/14,8:00:00 AM,Grab,Water,3,Temperature - 00011,16,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,NR 04 - Lower Pond B
WW91,5/16/14,8:00:00 AM,Grab,Water,0.5,Temperature - 00011,17.5,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,NR 04 - Lower Pond B
WW89,5/30/14,8:30:00 AM,Grab,Water,5,Temperature - 00011,12,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,NR 03 - Lower Pond A 
WW89,5/30/14,8:30:00 AM,Grab,Water,1,Temperature - 00011,15,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,NR 03 - Lower Pond A 
WW89,5/30/14,8:30:00 AM,Grab,Water,0.1,Temperature - 00011,16,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,NR 03 - Lower Pond A 
WW91,5/30/14,9:00:00 AM,Grab,Water,3,Temperature - 00011,16,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,NR 04 - Lower Pond B 
WW91,5/30/14,9:00:00 AM,Grab,Water,0.5,Temperature - 00011,17,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,NR 04 - Lower Pond B 
WW91,6/13/14,7:45:00 AM,Grab,Water,3,Temperature - 00011,19.5,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,NR 04 - Lower Pond B 
WW91,6/13/14,7:45:00 AM,Grab,Water,0.5,Temperature - 00011,20.5,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,NR 04 - Lower Pond B 
